review_id,business_id,stars,user_local_stars,user_local_n,tourist_stars,t_n,business_stars,b_n,user_category_stars,user_cat_n,user_ambience_stars,user_ambience_n,user_good_for_stars,user_good_for_n,user_price_stars,user_price_n,business_city,user_id,user_city
__8qbnnaRxEhIw_v6sC_dA,Xhg93cMdemu5pAMkDoEdtQ,4,3.36,25,3.36,2142,3.10056989607777,2983,3.59511653094051,18302,3.36,0,1.64285714285714,14,3.08333333333333,12,Las Vegas,3Lj4_96xu38YZHlS7k5xNQ,Phoenix
__v0mHIz5M5gAVYUevIGGg,xfwRO04KbAPw_zRotCfWQQ,5,3.90697674418605,43,3.90697674418605,1212,3.85309278350515,2328,3.79607907670085,32855,3.88888888888889,27,3.87547892720307,45,3.64285714285714,14,Las Vegas,ZI1PrgDFvSpYWafvJh9wAg,Phoenix
__V7WOd6MELWlaNa3MSamQ,zObyDUjiXSTCXa5t6w9ghg,1,3.80555555555556,36,3.80555555555556,156,2.421875,192,3.56753810114261,17050,3.8,15,3.6031746031746,34,3.61904761904762,21,Las Vegas,sXWvDlMQspjJ1zzr3cEM7Q,Phoenix
_-QqQMi0JgCvyadLV-tUDg,dRas-lkshHzfN3kY8chwcA,5,3.50793650793651,63,3.50793650793651,129,3.49115044247788,226,3.74363597524447,8424,4.4,10,3.62442396313364,73,3,1,Las Vegas,pkgYy4PBrVCT6H0sILmTvA,Phoenix
_-wmqjxnIUlCKsGluCesCw,zt1TpTuJ6y9n551sw9TaEg,5,3.875,8,3.875,3005,3.75176194205168,3831,3.41433734466583,2554,3.875,0,1.83333333333333,3,3.875,0,Las Vegas,7nqWhTcmDjeaVDkxR6QS-w,Phoenix
_-Y7CicxxObN6So-WcDZ1A,BW1JCE3Qj4uIokg7kLUL7w,4,4,19,4,683,3.89601769911504,904,3.69039992993647,66536,3.6,10,4.28125,24,3.76923076923077,13,Las Vegas,KrgioAJmGyeduJsNRvDxCw,Phoenix
_04Si41MzFSzXzNDdt1BKg,DO3Gk17RyJVW7zYMCtYPnw,5,4.2,10,4.2,1668,3.99716446124764,2116,3.79656962062485,1450,5,2,4.75,8,4.2,0,Las Vegas,YO-1teydwPZZs2ZgApYd0Q,Phoenix
_139ffW5xHdnY1lUTekCLA,1o2Lx_YMC2xpuBG2q00LAQ,3,3.31707317073171,82,3.31707317073171,34,2.9125,80,3.41433734466583,2554,3.32352941176471,34,3.64444444444444,70,3.33333333333333,33,Las Vegas,0tYlK-FieQXAdmTQ9DWTbA,Phoenix
_1QYjpk8Pz2dChxSg6RVBQ,uHPXU5sWTZRILmMQbfWcJw,4,3.86666666666667,105,3.86666666666667,168,3.97572815533981,412,3.79234690702138,7237,3.90697674418605,43,3.83921568627451,136,3.82857142857143,70,Las Vegas,RxfFQxUtSIGYwTKU_rvAeg,Phoenix
_2--lHhNMlnftbzXhGbXMg,HbUQ_3dlm3uCacmhTEMnuA,4,3.775,40,3.775,1143,4.06346025384101,1497,3.7772660530924,26144,3.775,0,4.09090909090909,34,3.775,0,Las Vegas,qdw7JlxuNOX8RR8Ga9Im8g,Phoenix
_25qM3COVXSlFsVwj8AB5w,YEQkTCmphjr6XKPh4m93AQ,4,5,1,5,20,3.75438596491228,114,3.74486018805797,14384,5,1,3.33333333333333,2,5,1,Phoenix,D4vtmw1kMcH5e85DZlYZwQ,Las Vegas
_2lEiaP3AhMaYZURzXSNQg,mDOBApO3-M2024kWjhMNDg,3,3.48816568047337,338,3.48816568047337,13,3.78947368421053,38,3.83473452367131,1803,3.51685393258427,178,3.52133542423242,389,3.51764705882353,85,Pittsburgh,M6oU3OBf_E6gqlfkLGlStQ,Phoenix
_34Xjw_h3F01H9J39GgYPw,hGmXzJuycc9ecFPPddfTEw,5,3.2,20,3.2,23,4.35365853658537,82,3.81676598881631,3914,3.30769230769231,13,3.20952380952381,22,3.36363636363636,11,Pittsburgh,ACCUr3Ydw5XyPCmoIEdnpw,Phoenix
_4k57gCOqsMcMKqUXudZxA,SX2jlXA28czDXQBxQ2I0nA,4,3.84848484848485,33,3.84848484848485,57,4.21232876712329,146,3.78669494505541,3868,4.13333333333333,15,4.5,17,4.16666666666667,6,Las Vegas,6VEID9yjoYWFZkUcP_GNBg,Pittsburgh
_50CmhfyyJF7bLoIqSri_w,RUv_t0JTrytwsRwC7eHs8A,4,3.88888888888889,9,3.88888888888889,96,3.54368932038835,103,3.70949388982064,17784,3.8,5,3.94444444444444,12,4.5,2,Charlotte,bTTbF6aRwsQ0WIX_VE3daw,Phoenix
_5Gr66QKcdfLuhqmUsC7iw,DJg1loBuRmAYJMTmzFvOVg,3,3.78481012658228,79,3.78481012658228,11,3.43589743589744,78,3.64576949351135,61912,3.94,50,3.88341346153846,90,3.94871794871795,39,Phoenix,i893sQmd_NPfAwPul1UFZA,Las Vegas
_5MupPfX5vRAFiCqnZRMiQ,aGbjLWzcrnEx2ZmMCFm3EA,4,3.47457627118644,59,3.47457627118644,2163,3.90715372907154,3285,3.63462667895419,8882,3,1,3.38736263736264,61,3.28571428571429,21,Las Vegas,fOFSjqlS34HBukd_HjlI5g,Phoenix
_5xBc9RBDrL4c2X9wVhJnQ,NVunai1t_GXQCAdDzFWJkQ,4,3.77777777777778,54,3.77777777777778,269,3.55831265508685,403,3.67118442423759,31434,4.14285714285714,7,3.76785714285714,40,4.33333333333333,3,Las Vegas,XZuMpc6E9RqZX4HXtmlr-g,Charlotte
_6E64IZAYyL41TUOQmPRPg,Z1KDov5DRTG-rYF_6TyO1A,4,4.19526627218935,169,4.19526627218935,161,4.09448818897638,254,3.71837255575523,72020,4.66666666666667,3,4.37485714285714,149,3.6,5,Las Vegas,EGiAtB4sgZhDdYpRkDneig,Phoenix
_7BIu2u5O7esDRoo1KKaxw,rGhbYmGvoqU7IVrmuNQi2g,2,3.45454545454545,11,3.45454545454545,255,3.34355828220859,326,3.62060278310669,6971,3.2,5,2.625,9,3.75,8,Las Vegas,N_LaEecq5KY10K9difSYYw,Charlotte
_8EZhBnUAW5XiXeuTscNXg,Hieqsu3u1peZ2I2jPwiKHw,2,3.28664495114007,307,3.28664495114007,247,3.5470297029703,404,3.74662687374739,6191,3,7,3.36945458783311,333,5,2,Las Vegas,VPXgY9lGJF3XC4ZpusxNuA,Phoenix
_8JCjOijOOeioEzkVx98fQ,dxY1gl4cO4-rEFATCkFUIw,4,2.82608695652174,23,2.82608695652174,311,3.13822894168467,463,3.6163532209764,63633,2.84615384615385,13,2.17307692307692,15,3.09090909090909,11,Las Vegas,FKi5me6fBGPmiRHo6w4EBw,Phoenix
_8jOIBc6G743hmsGgIpVIg,5DilfgFM7DJDG8Bws05sFA,1,4.09090909090909,33,4.09090909090909,46,3.10344827586207,58,3.96910347847848,1464,4.4,10,4.51754385964912,25,4.35714285714286,14,Las Vegas,4DsUW5yuIkUcZ9Eu7p7EuA,Phoenix
_8Oodt1QXxbTchn6zZnKPA,H30ZFQRUFMP_IyPHAS5-yg,3,3.81818181818182,11,3.81818181818182,7,3.82352941176471,17,3.85999438867596,3660,3.81818181818182,0,3,4,3.81818181818182,0,Montreal,xjymRHQ7OAbd-ZajBtSUmw,Waterloo
_8r-c_DA4pN4SnurGvx_vQ,AIN4FSq5ZM4Il5BzXzMNXg,4,4.25,12,4.25,19,3.43181818181818,88,3.81080762716785,29970,4.625,8,4.7,12,4.25,0,Phoenix,Onq6n0rSeQPO_Fk54IZsuQ,Las Vegas
_8v31rWDSwmggpMr7e2bBw,YrIfgzLj0DPStJ1ESAS_Qg,4,4.03804347826087,184,4.03804347826087,553,4.09723461195361,1121,3.67421306653172,24287,3.98701298701299,77,4.07204362801378,212,4.06,100,Las Vegas,gcyEUr4DXcbjnGRAWFtfAQ,Phoenix
_9fx0Hh0aM2pojqWhAK6Pw,eZblSTFIjpqPtDawFi3UXQ,2,3.57142857142857,14,3.57142857142857,11,1.77272727272727,22,3.62262636007962,47777,3.57142857142857,0,3.57142857142857,0,3.81818181818182,11,Las Vegas,FthY4Zxid_NadUyKwaUxDw,Phoenix
